opportunity_id,product_ids,sales_rep_name,client_location_id,new_flag,created_date,update_date,projected_close_date,sales_stage_history,comments,renewal_flag,opportunity_amount
0,"[1, 3, 4]",sales_rep_10,9,N,2022-08-15,2022-08-20,2022-10-13,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,13
1,"[3, 2]",sales_rep_69,8,Y,2021-10-31,2022-05-27,2022-11-05,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,649418
2,"[4, 1, 3]",sales_rep_78,2,N,2021-04-01,2021-04-27,2022-02-13,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
3,[4],sales_rep_77,5,N,2021-08-29,2022-04-24,2022-06-23,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,4899320
4,[3],sales_rep_27,1,N,2022-03-25,2022-07-28,2022-11-15,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,94631
5,"[4, 1, 2]",sales_rep_68,6,Y,2021-09-08,2022-09-21,2022-11-17,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,971585
6,"[2, 1]",sales_rep_33,8,Y,2022-08-07,2022-11-07,2022-11-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,2715507
7,"[4, 2]",sales_rep_14,9,N,2022-07-07,2022-11-26,2022-11-26,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,0
8,[1],sales_rep_8,6,Y,2021-03-16,2022-03-05,2022-10-03,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",True,4489041
9,[4],sales_rep_64,9,N,2021-12-10,2022-04-23,2022-09-09,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,3922093
10,"[1, 4, 2]",sales_rep_63,4,Y,2021-05-26,2022-09-01,2022-11-03,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,167160
11,"[3, 4, 2]",sales_rep_40,5,N,2021-07-05,2022-03-25,2022-04-20,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,37336
12,"[1, 3, 4, 2]",sales_rep_66,8,Y,2021-10-11,2022-08-09,2022-08-13,"['prospecting', 'acquire', 'closed/lost']","['', '', '']",False,699
13,"[2, 3]",sales_rep_47,6,N,2022-05-10,2022-10-25,2022-11-20,"['prospecting', 'acquire', 'closed/won']","['', '', '']",True,6327
14,"[2, 1, 3]",sales_rep_98,3,N,2022-08-12,2022-09-07,2022-09-09,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,227
15,[2],sales_rep_22,4,N,2022-01-31,2022-11-19,2022-11-25,"['prospecting', 'acquire', 'closed/won']","['', '', '']",False,0
