opportunity_id,product_ids,sales_rep_name,client_location_id,new_flag,created_date,update_date,projected_close_date,sales_stage,comments,renewal_flag,opportunity_amount
0,[1],sales_rep_2,3,N,2022-08-24,2022-11-06,2022-11-20,prospecting,,True,63
0,[1],sales_rep_2,3,N,2022-08-24,2022-11-06,2022-11-20,acquire,,True,63
0,[1],sales_rep_2,3,N,2022-08-24,2022-11-06,2022-11-20,closed/lost,,True,63
1,"[3, 1, 2]",sales_rep_75,6,Y,2022-07-01,2022-07-11,2022-09-22,prospecting,,False,437
1,"[3, 1, 2]",sales_rep_75,6,Y,2022-07-01,2022-07-11,2022-09-22,acquire,,False,437
1,"[3, 1, 2]",sales_rep_75,6,Y,2022-07-01,2022-07-11,2022-09-22,closed/lost,,False,437
2,"[2, 1]",sales_rep_53,3,Y,2022-07-04,2022-07-29,2022-09-08,prospecting,,False,137697
2,"[2, 1]",sales_rep_53,3,Y,2022-07-04,2022-07-29,2022-09-08,acquire,,False,137697
2,"[2, 1]",sales_rep_53,3,Y,2022-07-04,2022-07-29,2022-09-08,closed/lost,,False,137697
3,"[3, 4, 1]",sales_rep_13,3,Y,2021-05-13,2021-12-16,2022-03-22,prospecting,,True,428057
3,"[3, 4, 1]",sales_rep_13,3,Y,2021-05-13,2021-12-16,2022-03-22,acquire,,True,428057
3,"[3, 4, 1]",sales_rep_13,3,Y,2021-05-13,2021-12-16,2022-03-22,closed/lost,,True,428057
4,[4],sales_rep_80,1,N,2021-11-15,2022-09-20,2022-10-12,prospecting,,False,1648949
4,[4],sales_rep_80,1,N,2021-11-15,2022-09-20,2022-10-12,acquire,,False,1648949
4,[4],sales_rep_80,1,N,2021-11-15,2022-09-20,2022-10-12,closed/won,,False,1648949
5,[4],sales_rep_60,6,Y,2022-09-09,2022-11-11,2022-11-19,prospecting,,False,280349
5,[4],sales_rep_60,6,Y,2022-09-09,2022-11-11,2022-11-19,acquire,,False,280349
5,[4],sales_rep_60,6,Y,2022-09-09,2022-11-11,2022-11-19,closed/lost,,False,280349
6,"[2, 1]",sales_rep_53,3,N,2021-10-10,2022-01-27,2022-10-17,prospecting,,False,267691
6,"[2, 1]",sales_rep_53,3,N,2021-10-10,2022-01-27,2022-10-17,acquire,,False,267691
6,"[2, 1]",sales_rep_53,3,N,2021-10-10,2022-01-27,2022-10-17,closed/lost,,False,267691
7,"[4, 1, 2, 3]",sales_rep_40,5,N,2021-12-03,2022-03-21,2022-09-28,prospecting,,False,0
7,"[4, 1, 2, 3]",sales_rep_40,5,N,2021-12-03,2022-03-21,2022-09-28,acquire,,False,0
7,"[4, 1, 2, 3]",sales_rep_40,5,N,2021-12-03,2022-03-21,2022-09-28,closed/won,,False,0
